molecule_chembl_id,canonical_smiles,reason,split
CHEMBL4855907,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3[C@@H](C)C(F)(F)F)n2)cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5559017,[2H]c1c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c(F)cc(C)c1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5562336,[2H]C([2H])([2H])C(n1cnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(C)cc2F)n1)C([2H])([2H])[2H],>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5565908,[2H]C([2H])([2H])C([2H])(n1cnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(C)cc2F)n1)C([2H])([2H])[2H],>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5560145,CC(C)n1cnnc1-c1cccc(NC(=O)c2cccc(-n3cnc(C4CC4)c3)c2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5562442,Cc1ccc(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5833803,C[C@H](CO)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(C(=O)c2cn(C4CC4)cn2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5556784,CC(C)n1cnnc1-c1nc(NC(=O)c2cc3c(cc2F)C(=O)NCc2nc(C4CC4)cn2-3)cs1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5791047,CC(C)n1cnnc1-c1cccc(-n2cnc3cc(OCC4COC4)c(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6011354,C[C@H](CO)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(C(=O)N2CCC2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5843248,Cc1cnc(C(=O)Nc2cccc(-c3nnnn3C(C)C)n2)cc1-c1ccccn1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5424839,Cn1nc(C(F)(F)F)c2cc(C(=O)Nc3cccc(-c4nncn4C4CCCC4)c3)c(=O)[nH]c21,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5565597,Cc1cc(F)c(C(=O)Nc2cccc3c2OC[C@@H](C2CC2)n2cnnc2-3)cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4795965,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc3ccccc3n2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4785979,CC(C)n1cnnc1-c1cccc(NC(=O)N(C)c2ccc3ccccc3n2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4753203,C[C@H](CO)n1cnnc1-c1cccc(NC(=O)Nc2ccc3ccccc3n2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4647065,COc1nn(CC2CC2)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4871543,COc1nn(CC2CC2)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3683263,C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N(C)C)cn2)cs1)C(F)(F)F,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5986475,CC(n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N(C)C)cn2)cs1)C(F)(F)F,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4851372,CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(NC(=O)c4ccc(C(F)(F)F)cc4)c3)c2c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6040091,CN1CCC(c2ccc3c(c2)OCCCCn2cnnc2-c2cccc(n2)NC3=O)CC1,Bridgehead atoms cause C++ RDKit hang,train
CHEMBL5821716,CN1CCC(c2cc3c(cc2F)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)CC1,Bridgehead atoms cause C++ RDKit hang,train
CHEMBL5962177,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(C(=O)c2ccc(F)cc2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5559902,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](C[C@@H](O)[C@@H]4[C@@](C)([C@H](O)CC(=O)O)[C@H](C(=C)C)CC[C@]43C)[C@@H]12,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4870142,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(-c4cnn(C)c4)cccc3[nH]2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5745536,O=C1c2ccccc2CN1c1cccc(-c2nnc3n2CCC3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5817505,CC1CCc2nnc(-c3cccc(N4Cc5ccccc5C4=O)n3)n21,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5885014,C[C@H]1CCc2nnc(-c3cccc(N4Cc5ccccc5C4=O)n3)n21,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5778817,O=C1c2ccccc2CN1c1cccc(-c2nnc3n2[C@H](CO)CC3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5773356,C[C@@H]1CCc2nnc(-c3cccc(N4Cc5ccccc5C4=O)n3)n21,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6034002,Cc1cnc(C(=O)Nc2cccc(-c3nnnn3C(C)C)n2)cc1-c1cnc(C2CC2)s1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5935075,Cc1cnc(C(=O)Nc2cccc(-c3nnnn3[C@H](C)CO)n2)cc1-c1cnc(C2CC2)s1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3899813,C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CC4CN(C)CC4C3)cn2)cs1)C(F)(F)F,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5950206,C[C@H](CO)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(c2ncccn2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5917689,CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3cc(-c4ccc(C(C)(C)C)cc4)cnc3c2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5799280,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(N3C4COCC3C4)cc21,Bridgehead atoms cause C++ RDKit hang,train
CHEMBL5782592,CC(C)n1cnnc1-c1cccc(N2Cc3ccc(-c4ccc5c(c4)C(=O)OC5=O)cc3C2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4877113,C[C@H](n1cnnc1-c1cccc(NC(=O)c2cccc3nccnc23)n1)C(F)(F)F,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5928864,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc(Oc3ccncn3)ccc2F)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL1642656,CC(C)(C)c1ccc(C(=O)Nc2cn3c(ccc4ccccc43)n2)cc1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4751918,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ncnc3ccccc23)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5970236,Cn1cc(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)nn1,Bridgehead atoms cause C++ RDKit hang,train
CHEMBL5435837,O=C(Nc1cccc(-c2nncn2C2CC2)n1)c1cc(-c2cccnc2)cn(Cc2ccccc2F)c1=O,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5846662,CC(C)n1nnnc1-c1cccc(N2Cc3ccc(-c4cncc(C5CC5)c4)cc3C2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4212924,Nc1cccc(Nc2ncc3ccccc3n2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4213056,CC(=O)Nc1cccc(Nc2ncc3cc(Br)ccc3n2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5857510,CC(C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(S(=O)(=O)CC2CC2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
